2017-10-04 11:10:10,870 INFO  [default] Terminated successfully
2017-10-04 11:10:10,887 INFO  [default] Received animation of duration 1s
2017-10-04 11:10:10,888 INFO  [default] 30 frames per second, 0.0333333s per frame, 30 frames
2017-10-04 11:10:10,891 INFO  [default] Producing frame 0 (@0s)
2017-10-04 11:10:11,045 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [151 ms]
2017-10-04 11:10:11,051 INFO  [default] Writing WIF frame #0
2017-10-04 11:10:11,101 INFO  [default] Producing frame 1 (@0.0333333s)
2017-10-04 11:10:11,246 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [141 ms]
2017-10-04 11:10:11,257 INFO  [default] Writing WIF frame #1
2017-10-04 11:10:11,293 INFO  [default] Producing frame 2 (@0.0666667s)
2017-10-04 11:10:11,447 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [151 ms]
2017-10-04 11:10:11,453 INFO  [default] Writing WIF frame #2
2017-10-04 11:10:11,484 INFO  [default] Producing frame 3 (@0.1s)
2017-10-04 11:10:11,618 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [132 ms]
2017-10-04 11:10:11,623 INFO  [default] Writing WIF frame #3
2017-10-04 11:10:11,657 INFO  [default] Producing frame 4 (@0.133333s)
2017-10-04 11:10:11,824 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [163 ms]
2017-10-04 11:10:11,828 INFO  [default] Writing WIF frame #4
2017-10-04 11:10:11,862 INFO  [default] Producing frame 5 (@0.166667s)
2017-10-04 11:10:12,047 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [183 ms]
2017-10-04 11:10:12,060 INFO  [default] Writing WIF frame #5
2017-10-04 11:10:12,094 INFO  [default] Producing frame 6 (@0.2s)
2017-10-04 11:10:12,247 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [151 ms]
2017-10-04 11:10:12,252 INFO  [default] Writing WIF frame #6
2017-10-04 11:10:12,281 INFO  [default] Producing frame 7 (@0.233333s)
2017-10-04 11:10:12,434 INFO  [performance] Executed [class std::shared_ptr<class imaging::Bitmap> __cdecl `anonymous-namespace'::StandardRenderer::render(const struct raytracer::Scene &) const] in [150 ms]
2017-10-04 11:10:12,439 INFO  [default] Writing WIF frame #7
